Category	Segment	Order Date	City	Country/Region	Customer ID	Customer Name	Order ID	Postal Code	Product ID	Product Name	Region	Row ID	Ship Date	Ship Mode	Ship Status	State	Sub-Category	Days to Ship Actual	Days to Ship Scheduled	Discount	Profit	Quantity	Sales
Furniture	Consumer	1/1/2020	Lorain	United States	GA-14725	Guy Armstrong	CA-2020-107503	44052	FUR-FU-10003878	"Linden 10"""" Round Wall Clock, Black"	East	849	1/6/2020	Standard Class	Shipped Early	Ohio	Furnishings	5	6	20.00%	$9 	4	$49 
Furniture	Consumer	1/1/2020	Los Angeles	United States	SC-20725	Steven Cartwright	CA-2020-144463	90036	FUR-FU-10001215	"Howard Miller 11-1/2"""" Diameter Brentwood Wall Clock"	West	4010	1/5/2020	Standard Class	Shipped Early	California	Furnishings	4	6	0.00%	$199 	11	$474 
Furniture	Consumer	1/1/2020	Huntsville	United States	JM-15250	Janet Martin	CA-2020-151750	77340	FUR-FU-10002116	"Tenex Carpeted, Granite-Look or Clear Contemporary Contour Shape Chair Mats"	Central	8071	1/5/2020	Standard Class	Shipped Early	Texas	Furnishings	4	6	60.00%	($187)	5	$141 
Furniture	Consumer	1/1/2020	Huntsville	United States	JM-15250	Janet Martin	CA-2020-151750	77340	FUR-CH-10003199	Office Star - Contemporary Task Swivel Chair	Central	8072	1/5/2020	Standard Class	Shipped Early	Texas	Chairs	4	6	30.00%	($27)	4	$311 
Furniture	Consumer	1/10/2018	New York City	United States	MM-17920	Michael Moore	US-2018-157154	10011	FUR-TA-10001889	Bush Advantage Collection Racetrack Conference Table	East	1670	1/15/2018	Standard Class	Shipped Early	New York	Tables	5	6	40.00%	($373)	4	"$1,018 "
Furniture	Consumer	1/10/2019	Longview	United States	JB-16000	Joy Bell-	CA-2019-163937	98632	FUR-FU-10000010	"DAX Value U-Channel Document Frames, Easel Back"	West	6970	1/13/2019	Second Class	Shipped On Time	Washington	Furnishings	3	3	0.00%	$8 	5	$25 
Furniture	Consumer	1/11/2017	Dover	United States	SV-20365	Seth Vernon	CA-2017-130092	19901	FUR-FU-10000010	"DAX Value U-Channel Document Frames, Easel Back"	East	717	1/14/2017	First Class	Shipped Late	Delaware	Furnishings	3	1	0.00%	$3 	2	$10 
Furniture	Consumer	1/13/2017	Mount Pleasant	United States	ND-18370	Natalie DeCherney	CA-2017-109232	29464	FUR-CH-10000422	Global Highback Leather Tilter in Burgundy	South	2979	1/16/2017	Second Class	Shipped On Time	South Carolina	Chairs	3	3	0.00%	$87 	6	$546 
Furniture	Consumer	1/13/2017	San Francisco	United States	BD-11605	Brian Dahlen	CA-2017-157147	94109	FUR-BO-10003034	"O'Sullivan Elevations Bookcase, Cherry Finish"	West	4939	1/18/2017	Standard Class	Shipped Early	California	Bookcases	5	6	15.00%	$4 	3	$334 
Furniture	Consumer	1/13/2018	Los Angeles	United States	PB-19150	Philip Brown	CA-2018-137526	90004	FUR-FU-10001861	"Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts"	West	4858	1/17/2018	Standard Class	Shipped Early	California	Furnishings	4	6	0.00%	$38 	4	$78 
